 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@microsoft%2frush', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@microsoft%2frush-lib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fnode-core-library', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /colors', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /semver', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2flink-bins', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fheft-config-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fpackage-deps-hash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2frig-package', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fstream-collator', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fterminal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@rushstack%2fts-command-line', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2fnode-fetch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@yarnpkg%2flockfile', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /builtin-modules', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cli-table', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /git-repo-info', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob-escape', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /https-proxy-agent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ignore', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /inquirer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /js-yaml', bytes: 0/0
